date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-06-15,20.1,15,26,,,46,10.9,,1009,
2019-06-16,20.5,15,27,,,94,11.7,,1006.5,
2019-06-17,22,16,28,,,45,13.3,,1006.3,
2019-06-18,21,17,27,,,40,12.9,,1008.3,
2019-06-19,19.4,16,26,,,78,11.2,,1009.5,
2019-06-20,19.5,14,27,,,27,10.7,,1008.4,
2019-06-21,20.8,16,27,,,58,11.6,,1008.6,
2019-06-22,20.1,17,25.1,,,5,9.2,,1009.3,
2019-06-23,19.4,15,24,,,97,11.7,,1009.5,
2019-06-24,17.9,15,22,,,122,11.8,,1008.5,
2019-06-25,18,14,23,,,69,10.6,,1009.3,
2019-06-26,18.7,16,25,,,343,8.6,,1010.7,
2019-06-27,18.8,16,24,,,16,14.8,,1012.4,
2019-06-28,17.9,14,24,,,347,16,,1012.6,
2019-06-29,17,13,22,,,7,14,,1013.2,
2019-06-30,17,13,23,,,342,12.9,,1012.3,
